STATION_NAME,DATE,AVEMAX
CITY CRK WATER PLANT UT US,20110801,88.3
CITY CRK WATER PLANT UT US,20110901,78.6
CITY CRK WATER PLANT UT US,20111001,63.5
CITY CRK WATER PLANT UT US,20111101,46.9
CITY CRK WATER PLANT UT US,20111201,35.8
CITY CRK WATER PLANT UT US,20120101,41.5
CITY CRK WATER PLANT UT US,20120201,42.1
CITY CRK WATER PLANT UT US,20120301,56.1
CITY CRK WATER PLANT UT US,20120401,64.4
CITY CRK WATER PLANT UT US,20120501,71.1
CITY CRK WATER PLANT UT US,20120601,83.3
CITY CRK WATER PLANT UT US,20120701,89.6
CITY CRK WATER PLANT UT US,20120801,89.6
CITY CRK WATER PLANT UT US,20120901,79
CITY CRK WATER PLANT UT US,20121001,64.9
CITY CRK WATER PLANT UT US,20121101,53.1
CITY CRK WATER PLANT UT US,20121201,37.9
CITY CRK WATER PLANT UT US,20130101,27.3
CITY CRK WATER PLANT UT US,20130201,37.9
CITY CRK WATER PLANT UT US,20130301,52
CITY CRK WATER PLANT UT US,20130401,56.3
CITY CRK WATER PLANT UT US,20130501,71.2
CITY CRK WATER PLANT UT US,20130601,83.8
CITY CRK WATER PLANT UT US,20130701,89.6
CITY CRK WATER PLANT UT US,20130801,87.3
CITY CRK WATER PLANT UT US,20130901,75.7
CITY CRK WATER PLANT UT US,20131001,59.4
CITY CRK WATER PLANT UT US,20131101,50.4
CITY CRK WATER PLANT UT US,20131201,32.5
CITY CRK WATER PLANT UT US,20140101,39.4
CITY CRK WATER PLANT UT US,20140201,43.2
CITY CRK WATER PLANT UT US,20140301,53.4
CITY CRK WATER PLANT UT US,20140401,59.2
CITY CRK WATER PLANT UT US,20140501,70.7
CITY CRK WATER PLANT UT US,20140601,79.9
CITY CRK WATER PLANT UT US,20140701,90.3
CITY CRK WATER PLANT UT US,20140801,82.2
CITY CRK WATER PLANT UT US,20140901,79.3
CITY CRK WATER PLANT UT US,20141001,68.7
CITY CRK WATER PLANT UT US,20141101,48
CITY CRK WATER PLANT UT US,20141201,41.7
CITY CRK WATER PLANT UT US,20150101,41.2
CITY CRK WATER PLANT UT US,20150201,51.4
CITY CRK WATER PLANT UT US,20150301,58.1
CITY CRK WATER PLANT UT US,20150401,61.7
CITY CRK WATER PLANT UT US,20150501,66
CITY CRK WATER PLANT UT US,20150601,86.2
CITY CRK WATER PLANT UT US,20150701,84.2
CITY CRK WATER PLANT UT US,20150801,86.4
CITY CRK WATER PLANT UT US,20150901,80.2
CITY CRK WATER PLANT UT US,20151001,68.2
CITY CRK WATER PLANT UT US,20151101,46.4
CITY CRK WATER PLANT UT US,20151201,37.8
COTTONWOOD NURSERY UT US,19060301,42.3
COTTONWOOD NURSERY UT US,19070701,77.9
COTTONWOOD NURSERY UT US,19070801,75.4
COTTONWOOD NURSERY UT US,19070901,68.9
COTTONWOOD NURSERY UT US,19071001,59.9
COTTONWOOD NURSERY UT US,19090601,73.8
COTTONWOOD NURSERY UT US,19090701,79.2
COTTONWOOD NURSERY UT US,19090801,77.5
COTTONWOOD NURSERY UT US,19090901,65.7
COTTONWOOD NURSERY UT US,19091001,57.7
COTTONWOOD NURSERY UT US,19150801,81
COTTONWOOD NURSERY UT US,19150901,62.4
COTTONWOOD NURSERY UT US,19151001,61
COTTONWOOD NURSERY UT US,19160501,55.4
COTTONWOOD NURSERY UT US,19160601,69.1
COTTONWOOD NURSERY UT US,19160701,79.2
COTTONWOOD NURSERY UT US,19160801,74.8
COTTONWOOD NURSERY UT US,19160901,68.7
COTTONWOOD NURSERY UT US,19161001,50.4
COTTONWOOD NURSERY UT US,19161101,41.7
COTTONWOOD NURSERY UT US,19170501,51.1
COTTONWOOD NURSERY UT US,19170601,68.4
COTTONWOOD NURSERY UT US,19170701,81.5
COTTONWOOD NURSERY UT US,19170801,75.9
COTTONWOOD NURSERY UT US,19170901,69.3
COTTONWOOD NURSERY UT US,19171001,59.5
COTTONWOOD NURSERY UT US,19171101,51.4
COTTONWOOD NURSERY UT US,19180501,56.5
COTTONWOOD NURSERY UT US,19180601,77.2
COTTONWOOD NURSERY UT US,19180701,77.9
COTTONWOOD NURSERY UT US,19180801,77.4
COTTONWOOD NURSERY UT US,19180901,69.4
COTTONWOOD NURSERY UT US,19190701,83.3
COTTONWOOD NURSERY UT US,19190801,81.3
COTTONWOOD NURSERY UT US,19190901,68.5
COTTONWOOD NURSERY UT US,19191001,45.1
COTTONWOOD NURSERY UT US,19191101,75.6
COTTONWOOD NURSERY UT US,19200701,81
COTTONWOOD NURSERY UT US,19200801,75.6
COTTONWOOD NURSERY UT US,19200901,66.7
COTTONWOOD NURSERY UT US,19201001,49.3
COTTONWOOD WEIR UT US,19410901,73.2
COTTONWOOD WEIR UT US,19411001,61.2
COTTONWOOD WEIR UT US,19411101,52.2
COTTONWOOD WEIR UT US,19411201,45.3
COTTONWOOD WEIR UT US,19420101,36.1
COTTONWOOD WEIR UT US,19420201,39
COTTONWOOD WEIR UT US,19420301,49.3
